"Date(UTC)","UnixTimeStamp","Value"
"7/30/2015","1438214400","4.46"
"7/31/2015","1438300800","12.58"
"8/1/2015","1438387200","16.34"
"8/2/2015","1438473600","16.12"
"8/3/2015","1438560000","16.37"
"8/4/2015","1438646400","16.10"
"8/5/2015","1438732800","16.51"
"8/6/2015","1438819200","16.89"
"8/7/2015","1438905600","16.65"
"8/8/2015","1438992000","16.44"
"8/9/2015","1439078400","16.86"
"8/10/2015","1439164800","16.44"
"8/11/2015","1439251200","16.37"
"8/12/2015","1439337600","16.86"
"8/13/2015","1439424000","16.34"
"8/14/2015","1439510400","14.88"
"8/15/2015","1439596800","16.04"
"8/16/2015","1439683200","16.84"
"8/17/2015","1439769600","16.16"
"8/18/2015","1439856000","17.46"
"8/19/2015","1439942400","16.64"
"8/20/2015","1440028800","21.47"
"8/21/2015","1440115200","16.98"
"8/22/2015","1440201600","16.39"
"8/23/2015","1440288000","17.24"
"8/24/2015","1440374400","16.67"
"8/25/2015","1440460800","16.95"
"8/26/2015","1440547200","17.27"
"8/27/2015","1440633600","18.35"
"8/28/2015","1440720000","18.57"
"8/29/2015","1440806400","19.93"
"8/30/2015","1440892800","20.77"
"8/31/2015","1440979200","20.87"
"9/1/2015","1441065600","21.86"
"9/2/2015","1441152000","24.12"
"9/3/2015","1441238400","25.53"
"9/4/2015","1441324800","19.30"
"9/5/2015","1441411200","17.48"
"9/6/2015","1441497600","17.19"
"9/7/2015","1441584000","17.77"
"9/8/2015","1441670400","17.46"
"9/9/2015","1441756800","17.12"
"9/10/2015","1441843200","17.18"
"9/11/2015","1441929600","16.71"
"9/12/2015","1442016000","17.11"
"9/13/2015","1442102400","17.25"
"9/14/2015","1442188800","17.61"
"9/15/2015","1442275200","17.75"
"9/16/2015","1442361600","17.32"
"9/17/2015","1442448000","17.91"
"9/18/2015","1442534400","17.57"
"9/19/2015","1442620800","16.90"
"9/20/2015","1442707200","16.04"
"9/21/2015","1442793600","16.87"
"9/22/2015","1442880000","17.00"
"9/23/2015","1442966400","16.58"
"9/24/2015","1443052800","17.10"
"9/25/2015","1443139200","16.73"
"9/26/2015","1443225600","17.32"
"9/27/2015","1443312000","17.92"
"9/28/2015","1443398400","18.02"
"9/29/2015","1443484800","18.51"
"9/30/2015","1443571200","18.04"
"10/1/2015","1443657600","16.45"
"10/2/2015","1443744000","16.62"
"10/3/2015","1443830400","16.84"
"10/4/2015","1443916800","17.47"
"10/5/2015","1444003200","17.05"
"10/6/2015","1444089600","17.67"
"10/7/2015","1444176000","17.09"
"10/8/2015","1444262400","16.60"
"10/9/2015","1444348800","17.45"
"10/10/2015","1444435200","17.44"
"10/11/2015","1444521600","16.91"
"10/12/2015","1444608000","16.48"
"10/13/2015","1444694400","16.76"
"10/14/2015","1444780800","17.30"
"10/15/2015","1444867200","17.39"
"10/16/2015","1444953600","17.56"
"10/17/2015","1445040000","16.86"
"10/18/2015","1445126400","17.28"
"10/19/2015","1445212800","17.29"
"10/20/2015","1445299200","17.20"
"10/21/2015","1445385600","17.22"
"10/22/2015","1445472000","17.78"
"10/23/2015","1445558400","16.26"
"10/24/2015","1445644800","16.52"
"10/25/2015","1445731200","16.74"
"10/26/2015","1445817600","17.52"
"10/27/2015","1445904000","16.50"
"10/28/2015","1445990400","17.33"
"10/29/2015","1446076800","16.64"
"10/30/2015","1446163200","16.30"
"10/31/2015","1446249600","16.65"
"11/1/2015","1446336000","16.54"
"11/2/2015","1446422400","17.04"
"11/3/2015","1446508800","16.83"
"11/4/2015","1446595200","16.79"
"11/5/2015","1446681600","16.85"
"11/6/2015","1446768000","16.56"
"11/7/2015","1446854400","17.27"
"11/8/2015","1446940800","17.02"
"11/9/2015","1447027200","17.00"
"11/10/2015","1447113600","16.92"
"11/11/2015","1447200000","17.08"
"11/12/2015","1447286400","16.84"
"11/13/2015","1447372800","16.63"
"11/14/2015","1447459200","16.64"
"11/15/2015","1447545600","16.52"
"11/16/2015","1447632000","16.97"
"11/17/2015","1447718400","16.54"
"11/18/2015","1447804800","16.81"
"11/19/2015","1447891200","17.04"
"11/20/2015","1447977600","18.10"
"11/21/2015","1448064000","16.97"
"11/22/2015","1448150400","16.90"
"11/23/2015","1448236800","16.65"
"11/24/2015","1448323200","17.21"
"11/25/2015","1448409600","17.37"
"11/26/2015","1448496000","17.36"
"11/27/2015","1448582400","16.50"
"11/28/2015","1448668800","16.96"
"11/29/2015","1448755200","16.84"
"11/30/2015","1448841600","16.75"
"12/1/2015","1448928000","16.92"
"12/2/2015","1449014400","17.86"
"12/3/2015","1449100800","16.46"
"12/4/2015","1449187200","17.09"
"12/5/2015","1449273600","17.07"
"12/6/2015","1449360000","17.42"
"12/7/2015","1449446400","17.18"
"12/8/2015","1449532800","17.39"
"12/9/2015","1449619200","16.46"
"12/10/2015","1449705600","16.71"
"12/11/2015","1449792000","16.93"
"12/12/2015","1449878400","16.82"
"12/13/2015","1449964800","16.29"
"12/14/2015","1450051200","17.12"
"12/15/2015","1450137600","16.91"
"12/16/2015","1450224000","17.13"
"12/17/2015","1450310400","16.86"
"12/18/2015","1450396800","17.06"
"12/19/2015","1450483200","16.89"
"12/20/2015","1450569600","17.07"
"12/21/2015","1450656000","17.14"
"12/22/2015","1450742400","16.63"
"12/23/2015","1450828800","16.73"
"12/24/2015","1450915200","17.04"
"12/25/2015","1451001600","16.82"
"12/26/2015","1451088000","17.08"
"12/27/2015","1451174400","16.96"
"12/28/2015","1451260800","16.65"
"12/29/2015","1451347200","17.18"
"12/30/2015","1451433600","17.03"
"12/31/2015","1451520000","16.97"
"1/1/2016","1451606400","17.43"
"1/2/2016","1451692800","16.74"
"1/3/2016","1451779200","16.51"
"1/4/2016","1451865600","16.61"
"1/5/2016","1451952000","16.47"
"1/6/2016","1452038400","16.63"
"1/7/2016","1452124800","16.99"
"1/8/2016","1452211200","16.28"
"1/9/2016","1452297600","16.59"
"1/10/2016","1452384000","16.59"
"1/11/2016","1452470400","16.51"
"1/12/2016","1452556800","17.23"
"1/13/2016","1452643200","16.93"
"1/14/2016","1452729600","16.66"
"1/15/2016","1452816000","16.61"
"1/16/2016","1452902400","16.79"
"1/17/2016","1452988800","16.76"
"1/18/2016","1453075200","16.71"
"1/19/2016","1453161600","16.93"
"1/20/2016","1453248000","16.72"
"1/21/2016","1453334400","16.97"
"1/22/2016","1453420800","16.81"
"1/23/2016","1453507200","17.12"
"1/24/2016","1453593600","16.39"
"1/25/2016","1453680000","17.31"
"1/26/2016","1453766400","16.37"
"1/27/2016","1453852800","16.96"
"1/28/2016","1453939200","16.96"
"1/29/2016","1454025600","17.27"
"1/30/2016","1454112000","17.11"
"1/31/2016","1454198400","17.63"
"2/1/2016","1454284800","16.96"
"2/2/2016","1454371200","17.15"
"2/3/2016","1454457600","16.36"
"2/4/2016","1454544000","16.80"
"2/5/2016","1454630400","16.84"
"2/6/2016","1454716800","17.05"
"2/7/2016","1454803200","16.69"
"2/8/2016","1454889600","16.75"
"2/9/2016","1454976000","16.92"
"2/10/2016","1455062400","17.26"
"2/11/2016","1455148800","17.02"
"2/12/2016","1455235200","16.99"
"2/13/2016","1455321600","16.82"
"2/14/2016","1455408000","17.03"
"2/15/2016","1455494400","17.20"
"2/16/2016","1455580800","17.02"
"2/17/2016","1455667200","17.50"
"2/18/2016","1455753600","17.10"
"2/19/2016","1455840000","16.91"
"2/20/2016","1455926400","16.83"
"2/21/2016","1456012800","16.81"
"2/22/2016","1456099200","16.68"
"2/23/2016","1456185600","17.00"
"2/24/2016","1456272000","16.89"
"2/25/2016","1456358400","16.51"
"2/26/2016","1456444800","16.76"
"2/27/2016","1456531200","16.95"
"2/28/2016","1456617600","16.80"
"2/29/2016","1456704000","17.47"
"3/1/2016","1456790400","16.58"
"3/2/2016","1456876800","16.58"
"3/3/2016","1456963200","16.71"
"3/4/2016","1457049600","16.87"
"3/5/2016","1457136000","16.32"
"3/6/2016","1457222400","17.17"
"3/7/2016","1457308800","16.80"
"3/8/2016","1457395200","16.76"
"3/9/2016","1457481600","16.81"
"3/10/2016","1457568000","16.18"
"3/11/2016","1457654400","16.68"
"3/12/2016","1457740800","16.75"
"3/13/2016","1457827200","16.08"
"3/14/2016","1457913600","16.53"
"3/15/2016","1458000000","14.09"
"3/16/2016","1458086400","14.01"
"3/17/2016","1458172800","13.82"
"3/18/2016","1458259200","14.08"
"3/19/2016","1458345600","13.70"
"3/20/2016","1458432000","13.90"
"3/21/2016","1458518400","14.01"
"3/22/2016","1458604800","13.85"
"3/23/2016","1458691200","14.04"
"3/24/2016","1458777600","13.71"
"3/25/2016","1458864000","13.78"
"3/26/2016","1458950400","13.72"
"3/27/2016","1459036800","13.85"
"3/28/2016","1459123200","14.05"
"3/29/2016","1459209600","13.98"
"3/30/2016","1459296000","13.86"
"3/31/2016","1459382400","13.95"
"4/1/2016","1459468800","13.75"
"4/2/2016","1459555200","14.12"
"4/3/2016","1459641600","13.91"
"4/4/2016","1459728000","13.80"
"4/5/2016","1459814400","13.94"
"4/6/2016","1459900800","14.07"
"4/7/2016","1459987200","14.16"
"4/8/2016","1460073600","13.81"
"4/9/2016","1460160000","14.12"
"4/10/2016","1460246400","13.82"
"4/11/2016","1460332800","14.14"
"4/12/2016","1460419200","13.91"
"4/13/2016","1460505600","13.95"
"4/14/2016","1460592000","13.91"
"4/15/2016","1460678400","13.86"
"4/16/2016","1460764800","13.93"
"4/17/2016","1460851200","13.91"
"4/18/2016","1460937600","13.79"
"4/19/2016","1461024000","14.00"
"4/20/2016","1461110400","13.88"
"4/21/2016","1461196800","14.00"
"4/22/2016","1461283200","13.94"
"4/23/2016","1461369600","13.89"
"4/24/2016","1461456000","13.95"
"4/25/2016","1461542400","13.70"
"4/26/2016","1461628800","14.05"
"4/27/2016","1461715200","13.87"
"4/28/2016","1461801600","13.88"
"4/29/2016","1461888000","13.88"
"4/30/2016","1461974400","13.84"
"5/1/2016","1462060800","14.09"
"5/2/2016","1462147200","13.86"
"5/3/2016","1462233600","13.78"
"5/4/2016","1462320000","14.04"
"5/5/2016","1462406400","13.92"
"5/6/2016","1462492800","13.91"
"5/7/2016","1462579200","13.97"
"5/8/2016","1462665600","13.83"
"5/9/2016","1462752000","13.96"
"5/10/2016","1462838400","13.85"
"5/11/2016","1462924800","14.22"
"5/12/2016","1463011200","13.69"
"5/13/2016","1463097600","13.65"
"5/14/2016","1463184000","13.93"
"5/15/2016","1463270400","13.94"
"5/16/2016","1463356800","14.03"
"5/17/2016","1463443200","13.74"
"5/18/2016","1463529600","13.85"
"5/19/2016","1463616000","13.96"
"5/20/2016","1463702400","13.90"
"5/21/2016","1463788800","14.02"
"5/22/2016","1463875200","13.80"
"5/23/2016","1463961600","13.91"
"5/24/2016","1464048000","14.00"
"5/25/2016","1464134400","13.91"
"5/26/2016","1464220800","13.89"
"5/27/2016","1464307200","13.80"
"5/28/2016","1464393600","13.85"
"5/29/2016","1464480000","13.91"
"5/30/2016","1464566400","13.92"
"5/31/2016","1464652800","14.14"
"6/1/2016","1464739200","13.88"
"6/2/2016","1464825600","13.86"
"6/3/2016","1464912000","13.81"
"6/4/2016","1464998400","13.85"
"6/5/2016","1465084800","13.99"
"6/6/2016","1465171200","13.69"
"6/7/2016","1465257600","13.95"
"6/8/2016","1465344000","13.79"
"6/9/2016","1465430400","13.75"
"6/10/2016","1465516800","14.21"
"6/11/2016","1465603200","13.68"
"6/12/2016","1465689600","13.86"
"6/13/2016","1465776000","13.85"
"6/14/2016","1465862400","13.82"
"6/15/2016","1465948800","13.91"
"6/16/2016","1466035200","13.97"
"6/17/2016","1466121600","14.03"
"6/18/2016","1466208000","13.76"
"6/19/2016","1466294400","13.43"
"6/20/2016","1466380800","14.03"
"6/21/2016","1466467200","13.97"
"6/22/2016","1466553600","13.65"
"6/23/2016","1466640000","14.01"
"6/24/2016","1466726400","13.84"
"6/25/2016","1466812800","13.98"
"6/26/2016","1466899200","13.85"
"6/27/2016","1466985600","13.89"
"6/28/2016","1467072000","13.80"
"6/29/2016","1467158400","14.01"
"6/30/2016","1467244800","13.97"
"7/1/2016","1467331200","13.71"
"7/2/2016","1467417600","13.95"
"7/3/2016","1467504000","13.91"
"7/4/2016","1467590400","13.85"
"7/5/2016","1467676800","14.11"
"7/6/2016","1467763200","13.75"
"7/7/2016","1467849600","13.93"
"7/8/2016","1467936000","14.01"
"7/9/2016","1468022400","13.71"
"7/10/2016","1468108800","13.92"
"7/11/2016","1468195200","13.87"
"7/12/2016","1468281600","13.99"
"7/13/2016","1468368000","13.85"
"7/14/2016","1468454400","13.96"
"7/15/2016","1468540800","14.04"
"7/16/2016","1468627200","13.78"
"7/17/2016","1468713600","13.94"
"7/18/2016","1468800000","13.69"
"7/19/2016","1468886400","14.00"
"7/20/2016","1468972800","14.05"
"7/21/2016","1469059200","13.65"
"7/22/2016","1469145600","14.08"
"7/23/2016","1469232000","13.84"
"7/24/2016","1469318400","14.16"
"7/25/2016","1469404800","13.94"
"7/26/2016","1469491200","14.42"
"7/27/2016","1469577600","13.79"
